label_i,label_j,cosine_sim,pairwise_accuracy,n_samples,jaccard_sim
activate_my_card,age_limit,0.1383553445339203,0.8375,80,0.0
activate_my_card,apple_pay_or_google_pay,0.21248269081115723,0.6,80,0.0
activate_my_card,atm_support,0.2938233017921448,0.8875,80,0.0
activate_my_card,automatic_top_up,0.20789383351802826,0.825,80,0.0
activate_my_card,balance_not_updated_after_bank_transfer,0.1352216601371765,0.7625,80,0.0
activate_my_card,balance_not_updated_after_cheque_or_cash_deposit,0.07664714753627777,0.7375,80,0.0
activate_my_card,beneficiary_not_allowed,0.1528134047985077,0.30625,160,0.0
activate_my_card,cancel_transfer,0.30772584676742554,0.8125,80,0.0
activate_my_card,card_about_to_expire,0.6047451496124268,0.9,80,0.16666666666666666
activate_my_card,card_acceptance,0.5585790872573853,0.6,80,0.25
activate_my_card,card_arrival,0.5720608234405518,0.8125,80,0.25
activate_my_card,card_delivery_estimate,0.3947448134422302,0.8,80,0.2
activate_my_card,card_linking,0.4374453127384186,0.7375,80,0.25
activate_my_card,card_not_working,0.5242235660552979,0.9,80,0.2
activate_my_card,card_payment_fee_charged,0.391377329826355,0.9125,80,0.16666666666666666
activate_my_card,card_payment_not_recognised,0.41081368923187256,0.4875,80,0.16666666666666666
activate_my_card,card_payment_wrong_exchange_rate,0.23551492393016815,0.875,80,0.14285714285714285
activate_my_card,card_swallowed,0.4039124846458435,0.5375,80,0.25
activate_my_card,cash_withdrawal_charge,0.1547970175743103,0.9,80,0.0
activate_my_card,cash_withdrawal_not_recognised,0.19774574041366577,0.39166666666666666,120,0.0
activate_my_card,change_pin,0.29403525590896606,0.975,80,0.0
activate_my_card,compromised_card,0.44209641218185425,0.675,80,0.25
activate_my_card,contactless_not_working,0.19148564338684082,0.9125,80,0.0
activate_my_card,country_support,0.06879577040672302,0.7,80,0.0
activate_my_card,declined_card_payment,0.3548832833766937,0.7375,80,0.2
activate_my_card,declined_cash_withdrawal,0.16030283272266388,0.625,80,0.0
activate_my_card,declined_transfer,0.17447662353515625,0.7625,80,0.0
activate_my_card,direct_debit_payment_not_recognised,0.2840662896633148,0.7375,80,0.0
activate_my_card,disposable_card_limits,0.3800128102302551,0.85,80,0.2
activate_my_card,edit_personal_details,0.1358696073293686,0.8875,80,0.0
activate_my_card,exchange_charge,0.23467113077640533,0.55,80,0.0
activate_my_card,exchange_rate,0.04738916456699371,0.95,80,0.0
activate_my_card,exchange_via_app,0.09622949361801147,0.55,80,0.0
activate_my_card,extra_charge_on_statement,0.227250337600708,0.8875,80,0.0
activate_my_card,failed_transfer,0.17371515929698944,0.925,80,0.0
activate_my_card,fiat_currency_support,-0.011987743899226189,0.6,80,0.0
activate_my_card,get_disposable_virtual_card,0.4259103834629059,0.7916666666666666,120,0.16666666666666666
activate_my_card,get_physical_card,0.6266121864318848,0.475,80,0.2
activate_my_card,getting_spare_card,0.5652105808258057,0.7875,80,0.2
activate_my_card,high_value_transfer,0.08827067911624908,0.95,40,0.0
activate_my_card,identity_verification_mobile_number,0.408317506313324,0.95,40,0.0
activate_my_card,incorrect_currency_received,0.09651786088943481,0.95,40,0.0
activate_my_card,international_fee,0.13718044757843018,0.95,40,0.0
activate_my_card,lost_or_stolen_card,0.4830288887023926,0.975,80,0.16666666666666666
activate_my_card,lost_or_stolen_phone,0.15785694122314453,0.825,80,0.0
activate_my_card,order_physical_card,0.5841143131256104,0.525,80,0.2
activate_my_card,passcode_forgotten,0.2742561101913452,0.975,80,0.0
activate_my_card,pending_card_payment,0.41022440791130066,0.9,80,0.2
activate_my_card,pending_cash_withdrawal,0.20046676695346832,0.8125,80,0.0
activate_my_card,pending_top_up,0.3182471692562103,0.85,80,0.0
activate_my_card,pending_transfer,0.2845035493373871,0.8,80,0.0
activate_my_card,reverted_card_payment,0.37691783905029297,0.75,80,0.2
activate_my_card,supported_cards_and_currencies,0.27742117643356323,0.7125,80,0.0
activate_my_card,terminate_account,0.31735318899154663,0.975,80,0.0
activate_my_card,top_up_by_bank_transfer_charge,0.1596936285495758,0.5625,80,0.0
activate_my_card,top_up_by_card_charge,0.39283671975135803,0.6875,80,0.14285714285714285
activate_my_card,top_up_by_cash_or_cheque,0.19119510054588318,0.9125,80,0.0
activate_my_card,top_up_failed,0.24578073620796204,0.925,80,0.0
activate_my_card,top_up_limits,0.14623774588108063,0.95,80,0.0
activate_my_card,top_up_reverted,0.2161780595779419,0.7625,80,0.0
activate_my_card,topping_up_by_card,0.4001164436340332,0.475,80,0.16666666666666666
activate_my_card,transaction_charged_twice,0.2520444691181183,0.95,80,0.0
activate_my_card,transfer_fee_charged,0.1413395255804062,0.8875,80,0.0
activate_my_card,transfer_into_account,0.25267547369003296,0.775,80,0.0
activate_my_card,transfer_not_received_by_recipient,0.10590142011642456,0.7375,80,0.0
activate_my_card,transfer_timing,0.1615683138370514,0.875,80,0.0
activate_my_card,unable_to_verify_identity,0.27054738998413086,0.7375,80,0.0
activate_my_card,verify_my_identity,0.3348320722579956,0.95,80,0.2
activate_my_card,verify_source_of_funds,0.05802447348833084,0.9375,80,0.0
activate_my_card,verify_top_up,0.2641547918319702,0.9125,80,0.0
activate_my_card,virtual_card_not_working,0.38993212580680847,0.7625,80,0.16666666666666666
activate_my_card,visa_or_mastercard,0.4178130626678467,0.9125,80,0.0
activate_my_card,why_is_card_on_the_way,0.42837661504745483,0.475,80,0.125
activate_my_card,wrong_amount_of_cash_received,0.06581242382526398,0.825,80,0.0
activate_my_card,wrong_exchange_rate_for_cash_withdrawal,0.025957409292459488,0.7125,80,0.0
activate_my_card,receiving_money,0.1510845124721527,0.65,80,0.0
age_limit,apple_pay_or_google_pay,0.08174385875463486,0.4875,80,0.0
age_limit,atm_support,0.08546477556228638,0.775,80,0.0
age_limit,automatic_top_up,-0.029982659965753555,0.7125,80,0.0
age_limit,balance_not_updated_after_bank_transfer,-0.04198890179395676,0.65,80,0.0
age_limit,balance_not_updated_after_cheque_or_cash_deposit,-0.026237674057483673,0.625,80,0.0
age_limit,beneficiary_not_allowed,0.1913990080356598,0.25,160,0.0
age_limit,cancel_transfer,0.04132043197751045,0.7,80,0.0
age_limit,card_about_to_expire,0.12954023480415344,0.7875,80,0.0
age_limit,card_acceptance,0.16334740817546844,0.4875,80,0.0
age_limit,card_arrival,0.06897202879190445,0.7,80,0.0
age_limit,card_delivery_estimate,0.03560664877295494,0.6875,80,0.0
age_limit,card_linking,0.0054983217269182205,0.625,80,0.0
age_limit,card_not_working,0.09378739446401596,0.7875,80,0.0
age_limit,card_payment_fee_charged,0.06851653754711151,0.8,80,0.0
age_limit,card_payment_not_recognised,0.02247738279402256,0.375,80,0.0
age_limit,card_payment_wrong_exchange_rate,0.03151857852935791,0.7625,80,0.0
age_limit,card_swallowed,0.10475100576877594,0.425,80,0.0
age_limit,cash_withdrawal_charge,0.08343387395143509,0.7875,80,0.0
age_limit,cash_withdrawal_not_recognised,0.026414867490530014,0.31666666666666665,120,0.0
age_limit,change_pin,0.0691656768321991,0.8625,80,0.0
age_limit,compromised_card,0.05449037253856659,0.5625,80,0.0
age_limit,contactless_not_working,-0.0582275353372097,0.8,80,0.0
age_limit,country_support,0.1788305938243866,0.5875,80,0.0
age_limit,declined_card_payment,0.011636600829660892,0.625,80,0.0
age_limit,declined_cash_withdrawal,0.032629672437906265,0.5125,80,0.0
age_limit,declined_transfer,0.06464916467666626,0.65,80,0.0
age_limit,direct_debit_payment_not_recognised,0.01586909219622612,0.625,80,0.0
age_limit,disposable_card_limits,0.18941228091716766,0.7375,80,0.0
age_limit,edit_personal_details,0.09023374319076538,0.775,80,0.0
age_limit,exchange_charge,0.01721811853349209,0.4375,80,0.0
age_limit,exchange_rate,0.10448289662599564,0.8375,80,0.0
age_limit,exchange_via_app,0.019009949639439583,0.4375,80,0.0
age_limit,extra_charge_on_statement,0.011895515024662018,0.775,80,0.0
age_limit,failed_transfer,0.030078038573265076,0.8125,80,0.0
age_limit,fiat_currency_support,0.013129109516739845,0.4875,80,0.0
age_limit,get_disposable_virtual_card,0.0045794229954481125,0.7166666666666667,120,0.0
age_limit,get_physical_card,0.05382956564426422,0.3625,80,0.0
age_limit,getting_spare_card,0.04579745605587959,0.675,80,0.0
age_limit,high_value_transfer,0.008099076338112354,0.725,40,0.0
age_limit,identity_verification_mobile_number,0.12425161898136139,0.725,40,0.0
age_limit,incorrect_currency_received,0.04166605323553085,0.725,40,0.0
age_limit,international_fee,0.13750280439853668,0.725,40,0.0
age_limit,lost_or_stolen_card,0.04269497096538544,0.8625,80,0.0
age_limit,lost_or_stolen_phone,0.014410726726055145,0.7125,80,0.0
age_limit,order_physical_card,-0.007345467805862427,0.4125,80,0.0
age_limit,passcode_forgotten,0.11748598515987396,0.8625,80,0.0
age_limit,pending_card_payment,0.010809017345309258,0.7875,80,0.0
age_limit,pending_cash_withdrawal,0.03856014832854271,0.7,80,0.0
age_limit,pending_top_up,0.10194100439548492,0.7375,80,0.0
age_limit,pending_transfer,0.06771672517061234,0.6875,80,0.0
age_limit,reverted_card_payment,0.0027357377111911774,0.6375,80,0.0
age_limit,supported_cards_and_currencies,0.05877958610653877,0.6,80,0.0
age_limit,terminate_account,0.18725135922431946,0.8625,80,0.0
age_limit,top_up_by_bank_transfer_charge,-0.0008383570238947868,0.45,80,0.0
age_limit,top_up_by_card_charge,0.015136336907744408,0.575,80,0.0
age_limit,top_up_by_cash_or_cheque,0.05042213946580887,0.8,80,0.0
age_limit,top_up_failed,0.08360721915960312,0.8125,80,0.0
age_limit,top_up_limits,0.17055512964725494,0.8375,80,0.0
age_limit,top_up_reverted,0.0847175195813179,0.65,80,0.0
age_limit,topping_up_by_card,0.02407792955636978,0.3625,80,0.0
age_limit,transaction_charged_twice,0.020540760830044746,0.8375,80,0.0
age_limit,transfer_fee_charged,0.022001715376973152,0.775,80,0.0
age_limit,transfer_into_account,0.06225309148430824,0.6625,80,0.0
age_limit,transfer_not_received_by_recipient,-0.00760793499648571,0.625,80,0.0
age_limit,transfer_timing,0.03312394395470619,0.7625,80,0.0
age_limit,unable_to_verify_identity,0.11215371638536453,0.625,80,0.0
age_limit,verify_my_identity,0.0805005431175232,0.8375,80,0.0
age_limit,verify_source_of_funds,-0.0014075124636292458,0.825,80,0.0
age_limit,verify_top_up,0.036726318299770355,0.8,80,0.0
age_limit,virtual_card_not_working,0.02782725915312767,0.65,80,0.0
age_limit,visa_or_mastercard,0.08448600769042969,0.8,80,0.0
age_limit,why_is_card_on_the_way,0.09381289780139923,0.3625,80,0.0
age_limit,wrong_amount_of_cash_received,0.08357804268598557,0.7125,80,0.0
age_limit,wrong_exchange_rate_for_cash_withdrawal,0.05175679177045822,0.6,80,0.0
age_limit,receiving_money,0.14626924693584442,0.5375,80,0.0
apple_pay_or_google_pay,atm_support,0.31868183612823486,0.5375,80,0.0
apple_pay_or_google_pay,automatic_top_up,0.154912531375885,0.475,80,0.0
apple_pay_or_google_pay,balance_not_updated_after_bank_transfer,0.0714191272854805,0.4125,80,0.0
apple_pay_or_google_pay,balance_not_updated_after_cheque_or_cash_deposit,0.1273033320903778,0.3875,80,0.09090909090909091
apple_pay_or_google_pay,beneficiary_not_allowed,0.0909411609172821,0.13125,160,0.0
apple_pay_or_google_pay,cancel_transfer,0.06732720136642456,0.4625,80,0.0
apple_pay_or_google_pay,card_about_to_expire,0.186568021774292,0.55,80,0.0
apple_pay_or_google_pay,card_acceptance,0.32036834955215454,0.25,80,0.0
apple_pay_or_google_pay,card_arrival,0.20361319184303284,0.4625,80,0.0
apple_pay_or_google_pay,card_delivery_estimate,0.1979529857635498,0.45,80,0.0
apple_pay_or_google_pay,card_linking,0.11397452652454376,0.3875,80,0.0
apple_pay_or_google_pay,card_not_working,0.1397809088230133,0.55,80,0.0
apple_pay_or_google_pay,card_payment_fee_charged,0.3171862065792084,0.5625,80,0.0
apple_pay_or_google_pay,card_payment_not_recognised,0.302357017993927,0.1375,80,0.0
apple_pay_or_google_pay,card_payment_wrong_exchange_rate,0.28739941120147705,0.525,80,0.0
apple_pay_or_google_pay,card_swallowed,0.08888761699199677,0.1875,80,0.0
apple_pay_or_google_pay,cash_withdrawal_charge,0.2648661136627197,0.55,80,0.0
apple_pay_or_google_pay,cash_withdrawal_not_recognised,0.152876079082489,0.15833333333333333,120,0.0
apple_pay_or_google_pay,change_pin,0.09079237282276154,0.625,80,0.0
apple_pay_or_google_pay,compromised_card,0.13772894442081451,0.325,80,0.0
apple_pay_or_google_pay,contactless_not_working,0.08149410784244537,0.5625,80,0.0
apple_pay_or_google_pay,country_support,0.16059455275535583,0.35,80,0.0
apple_pay_or_google_pay,declined_card_payment,0.33341851830482483,0.3875,80,0.0
apple_pay_or_google_pay,declined_cash_withdrawal,0.1760469377040863,0.275,80,0.0
apple_pay_or_google_pay,declined_transfer,0.04717794060707092,0.4125,80,0.0
apple_pay_or_google_pay,direct_debit_payment_not_recognised,0.28804251551628113,0.3875,80,0.0
apple_pay_or_google_pay,disposable_card_limits,0.22290542721748352,0.5,80,0.0
apple_pay_or_google_pay,edit_personal_details,0.06023002415895462,0.5375,80,0.0
apple_pay_or_google_pay,exchange_charge,0.3734917938709259,0.2,80,0.0
apple_pay_or_google_pay,exchange_rate,0.23223377764225006,0.6,80,0.0
apple_pay_or_google_pay,exchange_via_app,0.34964489936828613,0.2,80,0.0
apple_pay_or_google_pay,extra_charge_on_statement,0.20708560943603516,0.5375,80,0.0
apple_pay_or_google_pay,failed_transfer,0.04262733832001686,0.575,80,0.0
apple_pay_or_google_pay,fiat_currency_support,0.16675570607185364,0.25,80,0.0
apple_pay_or_google_pay,get_disposable_virtual_card,0.14462685585021973,0.5583333333333333,120,0.0
apple_pay_or_google_pay,get_physical_card,0.2601342797279358,0.125,80,0.0
apple_pay_or_google_pay,getting_spare_card,0.25896215438842773,0.4375,80,0.0
